image_id,deepseek (post)_compiled,deepseek (post)_color,deepseek (post)_clip,glm (post)_compiled,glm (post)_color,glm (post)_clip,gpt (post)_compiled,gpt (post)_color,gpt (post)_clip,kimi-turbo (post)_compiled,kimi-turbo (post)_color,kimi-turbo (post)_clip,deepseek (llm)_compiled,deepseek (llm)_color,deepseek (llm)_clip,gpt (llm)_compiled,gpt (llm)_color,gpt (llm)_clip,gpt (a2)_compiled,gpt (a2)_color,gpt (a2)_clip,gpt(nocolor)_compiled,gpt(nocolor)_color,gpt(nocolor)_clip
019,是,0.7518,0.9626,是,0.9798,0.9536,是,0.9406,0.9593,是,0.7477,0.9552,是,0.7518,0.9626,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7433,0.9587
020,是,0.9772,0.9461,否,0.0000,0.0000,是,0.8849,0.9517,是,0.9733,0.9513,是,0.9772,0.9461,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9718,0.9292
021,是,0.5375,0.8948,是,0.5494,0.8952,是,0.5316,0.6744,是,0.5388,0.6826,是,0.5374,0.8897,是,0.5317,0.6744,否,0.0000,0.0000,是,0.5776,0.8778
022,是,0.4114,0.7957,是,0.7452,0.7366,是,0.4121,0.6914,是,0.4083,0.7920,是,0.4113,0.7957,是,0.4121,0.6914,否,0.0000,0.0000,是,0.3946,0.6914
023,是,0.0896,0.9684,是,0.0801,0.9691,是,0.1127,0.9477,是,0.0934,0.9674,是,0.0892,0.9684,是,0.1124,0.9477,否,0.0000,0.0000,是,0.0874,0.9535
024,是,0.0062,0.9385,是,0.9573,0.9371,是,0.0063,0.9328,是,0.0067,0.8705,是,0.0023,0.9385,是,0.0063,0.9328,是,0.0059,0.9385,是,0.0037,0.7349
025,是,0.9999,0.8172,是,1.0000,0.8005,否,0.0000,0.0000,是,0.9999,0.8172,是,0.9999,0.8172,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
026,否,0.0000,0.0000,是,0.1029,0.8984,是,0.2266,0.9253,是,0.2272,0.9086,否,0.0000,0.0000,是,0.2266,0.9253,否,0.0000,0.0000,是,0.2428,0.9303
027,否,0.0000,0.0000,是,0.9563,0.9238,是,0.9591,0.8907,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7157,0.9066
028,是,0.6352,0.8294,是,0.6383,0.8978,是,0.7543,0.8634,是,0.7226,0.8360,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7362,0.9386
029,是,1.0000,0.7996,是,1.0000,0.6895,是,1.0000,0.6943,是,1.0000,0.7571,是,1.0000,0.7994,是,1.0000,0.6943,否,0.0000,0.0000,是,1.0000,0.7400
030,是,0.3224,0.7097,是,0.7937,0.8324,是,0.3172,0.7097,否,0.0000,0.0000,是,0.3224,0.7097,是,0.3172,0.7097,否,0.0000,0.0000,是,0.5963,0.7225
031,是,0.2992,0.9087,否,0.0000,0.0000,是,0.2473,0.8717,是,0.2437,0.8507,是,0.2995,0.9090,是,0.2473,0.8717,否,0.0000,0.0000,否,0.0000,0.0000
032,是,0.0543,0.7930,是,0.2716,0.7924,是,0.2532,0.7407,是,0.0519,0.7757,是,0.0543,0.7930,是,0.2522,0.7407,否,0.0000,0.0000,是,0.0810,0.8149
033,是,0.5611,0.9360,是,0.2054,0.9185,是,0.5608,0.9348,是,0.5584,0.9346,是,0.5608,0.9358,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
034,否,0.0000,0.0000,是,0.9987,0.7875,是,0.9987,0.7740,是,0.9992,0.7636,否,0.0000,0.0000,是,0.9987,0.7740,是,0.9990,0.7871,是,0.9985,0.7902
035,否,0.0000,0.0000,是,0.0462,0.9248,是,0.0505,0.9014,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0505,0.9014,否,0.0000,0.0000,否,0.0000,0.0000
036,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0540,0.8616,是,0.0539,0.8788,否,0.0000,0.0000,是,0.0539,0.8616,否,0.0000,0.0000,是,0.0532,0.8763
037,是,0.8983,0.6576,否,0.0000,0.0000,是,0.9572,0.9140,是,0.8984,0.6576,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9772,0.9115
038,是,0.2261,0.8398,是,0.0977,0.8448,是,0.7466,0.8355,是,0.0510,0.8349,是,0.2268,0.8397,是,0.7472,0.8355,否,0.0000,0.0000,是,0.2158,0.8478
039,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6012,0.9413,是,0.5615,0.9379,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.5347,0.9393
040,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9473,0.8745,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
041,是,0.9688,0.9704,是,1.0000,0.9739,是,1.0000,0.9747,是,1.0000,0.9722,是,0.9688,0.9702,是,1.0000,0.9747,否,0.0000,0.0000,是,0.9981,0.9569
042,是,0.2881,0.8434,是,0.6293,0.8423,是,0.1366,0.8108,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1366,0.8108,否,0.0000,0.0000,是,0.2933,0.8510
043,否,0.0000,0.0000,是,0.9909,0.8678,是,0.9911,0.8967,是,0.9908,0.8873,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9911,0.8898
044,否,0.0000,0.0000,是,0.9995,0.9692,是,0.9963,0.9657,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9963,0.9657,否,0.0000,0.0000,是,0.9995,0.9605
045,是,0.8369,0.9805,是,0.8293,0.9677,是,0.8414,0.9718,是,0.8336,0.9757,是,0.9878,0.9808,是,0.8414,0.9718,是,0.8556,0.9902,是,0.8356,0.9698
046,是,0.4952,0.8966,是,0.5444,0.9102,是,0.3912,0.9146,是,0.5404,0.8956,是,0.3965,0.8962,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0760,0.9123
047,是,0.9797,0.9470,是,0.9870,0.9580,是,0.7076,0.9589,是,0.9871,0.9506,是,0.9792,0.9471,是,0.7076,0.9589,否,0.0000,0.0000,否,0.0000,0.0000
048,是,0.5348,0.8512,是,0.7806,0.8691,是,0.6461,0.8784,是,0.6523,0.8708,否,0.0000,0.0000,是,0.6461,0.8784,否,0.0000,0.0000,是,0.6363,0.8699
049,是,0.1126,0.8401,是,0.4432,0.8628,是,0.1099,0.8784,是,0.1151,0.8549,否,0.0000,0.0000,是,0.1099,0.8784,否,0.0000,0.0000,是,0.2739,0.8449
050,否,0.0000,0.0000,是,0.9851,0.9501,是,0.8846,0.9724,是,0.9861,0.9665,否,0.0000,0.0000,是,0.8846,0.9724,是,0.7136,0.9603,否,0.0000,0.0000
051,是,0.7354,0.9077,是,0.9742,0.8775,是,0.8424,0.9168,是,0.8374,0.9035,否,0.0000,0.0000,是,0.8425,0.9167,是,0.5579,0.9054,是,0.5492,0.8990
052,是,1.0000,0.7788,否,0.0000,0.0000,是,1.0000,0.9014,是,1.0000,0.9467,是,1.0000,0.7788,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9999,0.8590
053,是,0.6514,0.8872,是,0.8929,0.8695,是,0.6610,0.8859,是,0.5474,0.8815,是,0.6514,0.8872,是,0.6610,0.8859,否,0.0000,0.0000,是,0.5463,0.8857
054,是,0.1010,0.8160,是,0.1272,0.8550,是,0.1918,0.6635,否,0.0000,0.0000,是,0.1010,0.8160,是,0.1918,0.6630,否,0.0000,0.0000,是,0.4343,0.8393
055,是,0.4349,0.9632,是,0.5181,0.9579,是,0.8027,0.9747,是,0.5931,0.9738,是,0.4347,0.9632,是,0.8112,0.9746,否,0.0000,0.0000,是,0.4404,0.9745
056,是,0.0568,0.8308,是,0.1257,0.8610,是,0.4380,0.8504,是,0.0636,0.7599,是,0.0566,0.8308,否,0.0000,0.0000,是,0.0000,0.7385,是,0.1214,0.8776
057,是,0.1209,0.9713,是,0.0788,0.9580,是,0.7143,0.9683,是,0.0414,0.9653,是,0.1209,0.9713,是,0.7037,0.9683,否,0.0000,0.0000,是,0.0447,0.9682
058,是,0.5369,0.8291,是,0.9676,0.8407,是,0.4745,0.8328,是,0.5633,0.8432,是,0.5369,0.8291,是,0.4744,0.8327,否,0.0000,0.0000,是,0.4139,0.8312
059,是,0.1942,0.6932,是,0.9620,0.9288,是,0.0655,0.6621,是,0.2786,0.6932,是,0.1942,0.6932,是,0.0655,0.6621,是,0.7525,0.6946,是,0.5735,0.9123
060,否,0.0000,0.0000,是,0.5924,0.8862,是,0.4897,0.7972,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
061,否,0.0000,0.0000,是,0.9956,0.8909,是,0.9577,0.9143,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9554,0.9147,是,0.8664,0.9253,是,0.8823,0.9216
062,是,0.0541,0.9425,否,0.0000,0.0000,是,0.0480,0.8684,否,0.0000,0.0000,是,0.0539,0.9425,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0076,0.9481
063,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9998,0.9680,是,0.9993,0.9396,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
064,是,1.0000,0.8051,是,1.0000,0.8108,是,1.0000,0.7777,否,0.0000,0.0000,是,1.0000,0.8051,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9988,0.8211
065,否,0.0000,0.0000,是,0.9930,0.9319,是,0.9930,0.7226,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9930,0.7226,是,0.9925,0.9173,否,0.0000,0.0000
066,是,0.4379,0.8676,是,0.4226,0.8827,是,0.5053,0.8954,是,0.4925,0.8685,是,0.4379,0.8676,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
067,否,0.0000,0.0000,否,0.0000,0.0000,是,0.8989,0.8017,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.8980,0.8138
068,是,0.8115,0.8554,是,0.8018,0.8446,是,0.7914,0.8964,是,0.8722,0.8807,是,0.8115,0.8554,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
069,是,0.0445,0.7677,是,0.1045,0.7837,是,0.3443,0.8254,是,0.1889,0.7807,是,0.0445,0.7677,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
070,否,0.0000,0.0000,是,0.1997,0.9460,是,0.1988,0.9453,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
071,是,0.3894,0.8104,是,0.3779,0.7624,是,0.4773,0.7873,是,0.4678,0.7710,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
072,是,0.2311,0.9326,是,0.2222,0.9094,否,0.0000,0.0000,是,0.2090,0.9153,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
073,是,0.3450,0.6918,是,0.5704,0.8332,是,0.5016,0.8166,是,0.5255,0.8199,是,0.3448,0.6918,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
074,是,0.9702,0.9207,否,0.0000,0.0000,是,0.9327,0.9082,否,0.0000,0.0000,是,0.9702,0.9207,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
075,是,0.9612,0.8769,是,0.9668,0.8837,否,0.0000,0.0000,是,0.9745,0.8771,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
