image_id,deepseek (post)_compiled,deepseek (post)_color,deepseek (post)_clip,glm (post)_compiled,glm (post)_color,glm (post)_clip,gpt (post)_compiled,gpt (post)_color,gpt (post)_clip,kimi-turbo (post)_compiled,kimi-turbo (post)_color,kimi-turbo (post)_clip,deepseek (llm)_compiled,deepseek (llm)_color,deepseek (llm)_clip,gpt (llm)_compiled,gpt (llm)_color,gpt (llm)_clip,gpt (a2)_compiled,gpt (a2)_color,gpt (a2)_clip,gpt(nocolor)_compiled,gpt(nocolor)_color,gpt(nocolor)_clip
012,是,0.0531,0.7858,是,0.0380,0.8846,是,0.0592,0.8298,是,0.4954,0.8210,是,0.0531,0.7858,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0167,0.8070
013,是,0.2051,0.9033,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2051,0.9033,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
014,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7836,0.8437,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
015,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1438,0.8571,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
016,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2701,0.9756,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
017,是,0.9998,0.9144,是,0.9997,0.9530,是,0.9997,0.9063,是,0.9996,0.9449,是,0.9998,0.9144,是,0.9996,0.9512,否,0.0000,0.0000,是,0.9994,0.9321
018,是,0.5296,0.7326,否,0.0000,0.0000,是,0.7692,0.7894,否,0.0000,0.0000,是,0.5296,0.7326,是,0.8986,0.8413,否,0.0000,0.0000,是,0.8590,0.8479
019,是,0.5869,0.9565,是,0.6802,0.9443,否,0.0000,0.0000,否,0.0000,0.0000,是,0.5868,0.9574,否,0.0000,0.0000,否,0.0000,0.0000,是,0.8314,0.9133
020,是,0.9599,0.9332,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9599,0.9328,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
021,是,0.8568,0.9096,否,0.0000,0.0000,是,0.8112,0.7147,否,0.0000,0.0000,是,0.8569,0.9104,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9126,0.9138
022,是,0.3929,0.8054,否,0.0000,0.0000,是,0.3934,0.6964,否,0.0000,0.0000,是,0.3929,0.8054,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
023,是,0.0865,0.9541,否,0.0000,0.0000,是,0.0989,0.9288,否,0.0000,0.0000,是,0.0861,0.9549,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0620,0.9743
024,是,0.0089,0.9961,否,0.0000,0.0000,是,0.0101,0.9509,否,0.0000,0.0000,是,0.0089,0.9961,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
025,是,1.0000,0.8272,否,0.0000,0.0000,是,0.9996,0.8272,否,0.0000,0.0000,是,1.0000,0.8272,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
026,否,0.0000,0.0000,是,0.3953,0.9754,是,0.0904,0.9119,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1932,0.9791,否,0.0000,0.0000,是,0.1132,0.9373
027,否,0.0000,0.0000,是,0.4652,0.9292,否,0.0000,0.0000,是,0.3552,0.8617,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
028,是,0.6992,0.8380,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9125,0.8918,否,0.0000,0.0000,是,0.9264,0.9031
029,是,1.0000,0.7719,否,0.0000,0.0000,是,1.0000,0.7057,是,1.0000,0.8591,是,1.0000,0.8082,是,1.0000,0.8898,否,0.0000,0.0000,是,1.0000,0.8960
030,是,0.4854,0.6907,否,0.0000,0.0000,是,0.2495,0.6907,是,0.7330,0.8070,是,0.4814,0.6907,是,0.9854,0.8942,否,0.0000,0.0000,否,0.0000,0.0000
031,是,0.3735,0.8861,否,0.0000,0.0000,是,0.3614,0.8668,是,0.5537,0.9234,是,0.3778,0.8850,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
032,否,0.0000,0.0000,是,0.0902,0.8487,是,0.1035,0.8076,是,0.1262,0.8653,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1252,0.9177
033,是,0.4422,0.9457,是,0.1878,0.9817,否,0.0000,0.0000,否,0.0000,0.0000,是,0.4424,0.9449,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1163,0.9224
034,否,0.0000,0.0000,是,0.9999,0.8167,是,0.9999,0.8116,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9960,0.8059
035,否,0.0000,0.0000,是,0.7510,0.9196,是,0.4375,0.8785,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.5344,0.9054
036,是,0.7329,0.8546,是,0.6200,0.8749,是,0.4006,0.8659,否,0.0000,0.0000,是,0.7329,0.8655,是,0.4968,0.9316,否,0.0000,0.0000,否,0.0000,0.0000
037,是,0.0740,0.6479,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
038,是,0.8105,0.8646,否,0.0000,0.0000,是,0.7990,0.8558,否,0.0000,0.0000,是,0.8105,0.8644,否,0.0000,0.0000,否,0.0000,0.0000,是,0.3706,0.8389
039,否,0.0000,0.0000,是,0.4035,0.9206,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2390,0.9158
040,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2905,0.8657
041,是,1.0000,0.9680,否,0.0000,0.0000,是,1.0000,0.9766,否,0.0000,0.0000,是,1.0000,0.9725,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
042,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1111,0.7969,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
043,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0015,0.8928,否,0.0000,0.0000,是,0.9959,0.7027,否,0.0000,0.0000,是,0.9637,0.8952
044,否,0.0000,0.0000,是,0.9935,0.8868,是,0.1818,0.8891,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1969,0.9040
045,是,0.9658,0.9723,是,0.9035,0.9721,是,0.8967,0.9657,是,0.9004,0.9665,是,0.9658,0.9728,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
046,是,0.0969,0.9264,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0969,0.9262,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
047,是,0.9899,0.9633,否,0.0000,0.0000,是,0.7178,0.9716,否,0.0000,0.0000,是,0.9902,0.9648,否,0.0000,0.0000,是,0.9900,0.9640,是,0.6989,0.9288
048,是,0.4988,0.8587,是,0.3710,0.8445,是,0.6101,0.8771,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6335,0.8689,是,0.6215,0.8740
049,否,0.0000,0.0000,否,0.0000,0.0000,是,0.1267,0.8629,是,0.3292,0.8605,否,0.0000,0.0000,是,0.3322,0.8679,否,0.0000,0.0000,否,0.0000,0.0000
050,否,0.0000,0.0000,是,0.9140,0.9832,是,0.8651,0.9660,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9326,0.9821
051,否,0.0000,0.0000,是,0.9942,0.9139,是,0.8786,0.9207,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7737,0.9457
052,否,0.0000,0.0000,是,1.0000,0.9372,否,0.0000,0.0000,是,1.0000,0.9104,否,0.0000,0.0000,是,1.0000,0.8881,是,1.0000,0.7880,是,0.9999,0.9299
053,是,0.8976,0.8806,是,0.9605,0.9132,是,0.6808,0.8982,否,0.0000,0.0000,是,0.8976,0.8806,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9885,0.9257
054,否,0.0000,0.0000,是,0.2960,0.8904,是,0.2000,0.6800,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
055,是,0.4728,0.9520,是,0.5081,0.9106,是,0.9247,0.9572,否,0.0000,0.0000,是,0.4728,0.9520,否,0.0000,0.0000,否,0.0000,0.0000,是,0.5472,0.9568
056,是,0.0500,0.8061,是,0.5922,0.8560,否,0.0000,0.0000,是,0.0193,0.7679,是,0.0500,0.8061,是,0.0000,0.7757,否,0.0000,0.0000,是,0.3737,0.8885
057,是,0.1842,0.9723,否,0.0000,0.0000,是,0.1230,0.9648,否,0.0000,0.0000,是,0.1842,0.9723,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0397,0.9856
058,是,0.2744,0.8004,是,0.9985,0.7767,是,0.9822,0.8157,是,0.9836,0.7525,是,0.2721,0.8026,是,0.9833,0.7861,是,0.0014,0.8035,否,0.0000,0.0000
059,否,0.0000,0.0000,是,0.9719,0.8947,是,0.0892,0.6871,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6642,0.8982,否,0.0000,0.0000,否,0.0000,0.0000
060,否,0.0000,0.0000,是,0.2949,0.8534,否,0.0000,0.0000,是,0.4958,0.8952,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2332,0.9334
061,否,0.0000,0.0000,否,0.0000,0.0000,是,0.9340,0.8594,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7673,0.8963,否,0.0000,0.0000
062,是,0.0455,0.9066,是,0.0284,0.9407,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0453,0.9066,是,0.0262,0.9363,否,0.0000,0.0000,是,0.0049,0.9419
063,是,0.9996,0.9266,是,0.9990,0.9492,否,0.0000,0.0000,是,0.9992,0.9474,是,0.9996,0.9266,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0085,0.9315
064,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
065,否,0.0000,0.0000,否,0.0000,0.0000,是,1.0000,0.7047,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
066,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.6116,0.8347,否,0.0000,0.0000,否,0.0000,0.0000,是,0.0415,0.8023,否,0.0000,0.0000
067,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
068,是,0.4095,0.8596,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.4095,0.8596,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
069,是,0.2375,0.8198,是,0.9394,0.9048,否,0.0000,0.0000,否,0.0000,0.0000,是,0.2375,0.8198,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
070,是,0.7529,0.9051,是,0.9828,0.9447,否,0.0000,0.0000,否,0.0000,0.0000,是,0.7525,0.9034,是,0.9937,0.9724,否,0.0000,0.0000,是,0.0028,0.9569
071,否,0.0000,0.0000,是,0.5512,0.9644,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
072,否,0.0000,0.0000,是,0.2313,0.9037,否,0.0000,0.0000,是,0.1262,0.8652,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
073,是,0.4916,0.7615,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,是,0.4927,0.7622,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
074,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
075,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000,否,0.0000,0.0000
